video_id,title,description,channel_title,view_count,like_count,comment_count,published_at,published_date,published_year,published_month,extracted_at
Sl4zqWLC9Xw,Fastest way to learn Python #coding #python #programming,"Fastest way to learn Python
.
❣️ Save for later and subscribe for more!
.
🙌 For more content like this: https://www.youtube.com/PowerCouple26
🙌 Stay tuned for future Q&A and AMA sessions: https://www.instagram.com/power_couple26/
👉 TikTok: https://www.tiktok.com/@power_couple26
.
.
💻 Follow us on LinkedIn:
► ► https://www.linkedin.com/in/sarrabounouh
► ► https://www.linkedin.com/in/gabag26
.
.
📌 For business inquiries, reach us on: powercouplejourney@gmail.com
.
.
#programming #softwareengineer #technology #python #coding",Sahil & Sarra,2002837,190969,353,2023-08-30 13:00:21+00:00,2023-08-30,2023,8,2025-08-04 01:18:19.183859
qEwnlMBaLfc,Python in Excel - Beginner Tutorial,"🔥 Learn Excel in just 2 hours: https://kevinstratvert.thinkific.com

In this step-by-step tutorial, learn how you can use Python in Microsoft Excel. If you've never heard of Python before, it's a powerful and popular programming language that has many libraries and packages that help you with data manipulation, statistical modeling, machine learning, and data visualization. By bringing Python into Excel, you now get all of these benefits directly in one place. We'll start with the absolute basics of how you even get started using Python in Excel and then we'll look at some of the additional power you get added on top of Excel.

📚 RESOURCES
- Sample Excel workbook to follow along: https://1drv.ms/x/s!AmxrofZZlZ-whapuySXkDuvEcSyusQ?e=Omtgd3
- CTRL + Alt + Shift + P to insert Python code
- CTRL + Shift + U to expand formula editor
- CTRL + Alt + Shift + M to toggle between Python object and Excel value
- Pandas documentation: http://pandas.pydata.org/docs/
- Bing Chat: https://www.bing.com/chat

⌚ TIMESTAMPS
00:00 Introduction
00:40 How to insert Python code
01:57 Multi-line editor
02:38 Hello World example
04:01 Assign value to variables
05:07 Reference variables
06:01 Row major order
07:42 xl function
09:10 Python output in Excel calculations
09:39 Calculation options
10:56 Python object vs. Excel value
13:39 Import data with Power Query
14:15 Libraries
15:10 Pandas describe method
16:48 Matplotlib library and charting
19:32 Wrap up 
 
📺 RELATED VIDEOS
- Playlist with all my videos on Excel: https://www.youtube.com/playlist?list=PLlKpQrBME6xLYoubjOqowzcCCd0ivQVLY

📩 NEWSLETTER
- Get the latest high-quality tutorial and tips and tricks videos emailed to your inbox each week: https://kevinstratvert.com/newsletter/

🔽 CONNECT WITH ME
- Official web site: http://www.kevinstratvert.com
- LinkedIn: https://www.linkedin.com/in/kevinstratvert/
- Discord: https://bit.ly/KevinStratvertDiscord
- Twitter: https://twitter.com/kevstrat
- Facebook: https://www.facebook.com/Kevin-Stratvert-101912218227818
- TikTok: https://www.tiktok.com/@kevinstratvert
- Instagram: https://www.instagram.com/kevinstratvert/

🎒 MY COURSES
- Go from Excel novice to data analysis ninja in just 2 hours: https://kevinstratvert.thinkific.com/

🙏 REQUEST VIDEOS
https://forms.gle/BDrTNUoxheEoMLGt5

🔔 SUBSCRIBE ON YOUTUBE
https://www.youtube.com/user/kevlers?sub_confirmation=1

🙌 SUPPORT THE CHANNEL
- Hit the THANKS button in any video!
- Amazon affiliate link: https://amzn.to/3kCP2yz (Purchasing through this link gives me a small commission to support videos on this channel -- the price to you is the same)

#stratvert #excel #python",Kevin Stratvert,411484,5784,185,2023-09-21 07:00:21+00:00,2023-09-21,2023,9,2025-08-04 01:18:19.183911
OiLgG4CabPo,15 POWERFUL Python Libraries You Should Be Using,"💡 Learn how to design great software in 7 steps: https://arjan.codes/designguide.

In this video, I'll show you 15 really cool Python libraries that you should know about. Whether you’re a data scientist or backend developer some, of these packages are going to be very useful to you.

🔥 GitHub Repository: https://git.arjan.codes/2024/python15

🎓 ArjanCodes Courses: https://www.arjancodes.com/courses/

🔖 Chapters:
0:00 Intro
0:14 #1 SQLAlchemy
2:55 #2 BeautifulSoup
4:47 #3 SymPy
5:59 #4 Cookiecutter
8:23 #5 Pickle
10:07 #6 Pygame
11:21 #7 Missingno
12:22 #8 Jinja2
13:12 #9 Watchdog
14:27 #10 Returns
16:24 #11 Numerizer
17:16 #12 Box
19:07 #13 Pipe 
20:10 #14 Nicegui
21:16 #15 Screenshot-to-code
22:15 Outro

#arjancodes #softwaredesign #python",ArjanCodes,97058,3328,194,2024-10-18 15:00:23+00:00,2024-10-18,2024,10,2025-08-04 01:18:19.183919
T7tewZ0GpK8,4 Leetcode Mistakes,,Sahil & Sarra,636241,38518,117,2024-05-23 13:00:28+00:00,2024-05-23,2024,5,2025-08-04 01:18:19.183926
xkZMUX_oQX4,Python - Introduction - W3Schools.com,"This video is an introduction Python.

Part of a series of video tutorials to learn Python for beginners!

The page this is based on: https://www.w3schools.com/python/python_intro.asp
The full tutorial this is based on: https://www.w3schools.com/python/default.asp
Run Python in your browser: https://www.w3schools.com/python/trypython.asp?filename=demo_default
Get your own Python server: https://www.w3schools.com/spaces/index.php

Chapters in this video:
00:00 - What is Python?
00:24 - What can Python do?
00:44 - Why Python?
01:19 - Python is Readable
01:29 - Simple Python Examples

Find W3Schools here:
Website: https://www.w3schools.com/
Instagram: https://www.instagram.com/w3schools.com_official/
Facebook: https://www.facebook.com/w3schoolscom/
Linkedin: https://www.linkedin.com/company/w3schools.com/
Discord: https://discord.com/invite/w3schools

Join this channel to get access to perks:
https://www.youtube.com/channel/UCv9bWHC0DIn-Xb7ALNoOGWQ/join",w3schools.com,588898,10219,123,2024-05-28 06:00:22+00:00,2024-05-28,2024,5,2025-08-04 01:18:19.183931
ExJHGEn6gt0,How to install Python 3.11.4 on Windows 10 | Amit Thinks,"In this video, learn to download and install Python 3.11.4 on Windows 10. We will also set environment variables and verify the installation. With that, we will also run a sample Python code.

Python Study Material: https://studyopedia.com/tutorials/python3
Python Tutorial (English): https://youtu.be/HakXpkXcjdI
Python Tutorial (Hindi): https://youtu.be/b97WsOM9BYg

#Python #Windows #installation
-------------------------------------------------------------------------------------------------------------
✔️ My Website - https://studyopedia.com
✔️ Get Certified - https://bit.ly/3WV9sXK

👉  Follow me
LinkedIn - https://bit.ly/3C1CY4v
Instagram - https://bit.ly/3z8Fg1d
Telegram - https://bit.ly/3wWBh5i
-------------------------------------------------------------------------------------------------------------
► Top Free Video Tutorials
Python Tutorial (English)⭐️ https://youtu.be/HakXpkXcjdI
Python Tutorial (Hindi)⭐️ https://youtu.be/b97WsOM9BYg
Google Colab Tutorial ⭐️ https://youtu.be/iMlMfrXJYSg
Anaconda Tutorial ⭐️ https://youtu.be/ovlID7gefzE
PyCharm Tutorial ⭐️ https://youtu.be/nixcq6mEGWQ
MySQL Tutorial ⭐️ https://youtu.be/fFgdnS1laA0
SQL Tutorial ⭐️ https://youtu.be/7dcYlJcGhqk
VS Code Tutorial ⭐️ https://youtu.be/mK17Tel7dA8
Visual Studio Tutorial ⭐️https://youtu.be/REG-p_eFNIw
HTML Tutorial ⭐️ https://bit.ly/3Ts696N
Bootstrap Tutorial: https://youtu.be/nahewStckVU 
VS Code Tutorial: https://youtu.be/mK17Tel7dA8
Visual Studio Tutorial: https://youtu.be/REG-p_eFNIw

►  Programming - Free Study Material (Downloadable)
Python ⭐️  https://studyopedia.com/tutorials/python3
Numpy ⭐️ https://studyopedia.com/tutorials/numpy
Pandas ⭐️ https://studyopedia.com/tutorials/pandas
Matplotlib ⭐️ https://studyopedia.com/tutorials/matplotlib
Java ⭐️ https://studyopedia.com/tutorials/java
C ⭐️ https://studyopedia.com/tutorials/c-programming
C++ ⭐️ https://studyopedia.com/tutorials/cpp/
C# ⭐️ https://studyopedia.com/tutorials/csharp/
Numpy ⭐️ https://studyopedia.com/tutorials/numpy
Android ⭐️ https://studyopedia.com/tutorials/android
R ⭐️https://studyopedia.com/tutorials/r-tutorial

►  Web Dev - Free Study Material (Downloadable)
HTML5 ⭐️ https://studyopedia.com/tutorials/html5
PHP ⭐️  https://studyopedia.com/tutorials/php
Bootstrap⭐️ https://studyopedia.com/tutorials/bootstrap/
JavaScript⭐️ https://studyopedia.com/tutorials/javascript/
jQuery⭐️ https://studyopedia.com/tutorials/jquery/

►  Database  - Free Study Material (Downloadable)
SQL ⭐️ https://studyopedia.com/tutorials/sql
MySQL ⭐️ https://studyopedia.com/tutorials/mysql
MongoDB⭐️ https://studyopedia.com/tutorials/mongodb

►  CMS - Free Study Material (Downloadable)
WordPress ⭐️ https://studyopedia.com/tutorials/wordpress
Joomla⭐️ https://studyopedia.com/tutorials/joomla
Drupal ⭐️ https://studyopedia.com/tutorials/drupal
Magento ⭐️ https://studyopedia.com/tutorials/magento
PrestaShop ⭐️https://studyopedia.com/tutorials/prestashop/
OpenCart ⭐️https://studyopedia.com/tutorials/opencart/
osCommerce ⭐️https://studyopedia.com/tutorials/oscommerce/

►  Free Interview QA
Python🔥https://studyopedia.com/java/java-interview-questions-and-answers
Java 🔥https://studyopedia.com/python3/python-multiple-choice-questions/
Android🔥https://studyopedia.com/android/android-interview-questions/
ReactJS🔥https://studyopedia.com/reactjs/react-interview-questions
Bootstrap 🔥https://studyopedia.com/bootstrap/bootstrap-interview-questions
SQL 🔥https://studyopedia.com/sql/sql-interview-questions
MongoDB 🔥https://studyopedia.com/mongodb/mongodb-interview-questions
MySQL 🔥https://studyopedia.com/mysql/mysql-interview-questions

👉 About Amit Thinks YouTube Channel
I am Amit Diwan, a self-made Entrepreneur, running ""Amit Thinks"", a Tech YouTube Channel. Also running an E-Learning website ""studyopedia.com"".  We publish videos in English and Hindi on Programming, Databases, and Web Dev Technologies. I have left a job offer from Accenture and 3 government jobs to follow my dream of being an entrepreneur.

Join this channel to get access to perks:
https://www.youtube.com/channel/UCgnr2Lkl1LZf0IOKRDAoJ2g/join

►  Subscribe
https://www.youtube.com/@Amit.Thinks/",Amit Thinks,777042,7104,301,2023-06-09 08:19:11+00:00,2023-06-09,2023,6,2025-08-04 01:18:19.183938
dlRsM--bisM,Airboat Python Hunt: Went FULL SEND for This Giant Python,"Today we fired up the airboat and hit the Everglades looking for pythons. With the temps dropping, these snakes crawl out for some sun and that’s when we can catch them up sunning. We spotted gators everywhere, but when we finally saw that shimmer in the water, it was go time. Reo got his hands on his very first Burmese python. We threw him right into the action, and when that snake popped up, he didn’t hesitate for a second. There’s nothing like seeing someone get their first python.

*FOLLOW US ON SOCIAL MEDIA! *

Otto Wrote A Children's Book! Check it out on Amazon! 👉https://a.co/d/2hjY5T8 And if you grab a copy, leave us a review—Otto’s always looking for feedback from his fans.

SUBSCRIBE TO PYTHON COWBOY► https://www.youtube.com/c/PythonCowboy

FOLLOW ME ON INSTAGRAM ► https://www.instagram.com/pythoncowboy/

LIKE PYTHON COWBOY ON FACEBOOK ►https://www.facebook.com/pythoncowboyhunts

GET THE PYTHON COWBOY MERCH ► https://www.pythoncowboy.com

Contact to book or license footage pythoncowboyhunting@gmail.com",Python Cowboy,24624,1882,47,2025-08-01 21:30:05+00:00,2025-08-01,2025,8,2025-08-04 01:18:19.183944
IPOr0ran2Oo,How to install Python 3.13.0 on Windows 10,"In this video, learn to download and install Python 3.13.0 on Windows 10. We will also set environment variable and verify the installation. With that, we will also run a sample Python code.

Python Tutorial (English): https://bit.ly/3znnb1y
Python Tutorial (Hindi): https://youtu.be/b97WsOM9BYg
Python Study Material: https://studyopedia.com/tutorials/python3/

Pandas Tutorial (English): https://youtu.be/yFoVs3_wvPo
Pandas Tutorial (Hindi): https://youtu.be/57POFzZ7f60
NumPy Tutorial (English): https://youtu.be/WsENswmSz6M
NumPy Tutorial (Hindi): https://youtu.be/roqStVWNR7Q
Matplotlib Tutorial (English): https://youtu.be/DFBkTIhptOQ
Matplotlib Tutorial (Hindi): https://youtu.be/vBCXsAd_swk

#python313 #Windows10 #amitthinks
-------------------------------------------------------------------------------------------------------------
✔️My Website - https://studyopedia.com
✔️Join Us: https://bit.ly/3WV9sXK
✔️Get Certified by Studyopedia: https://bit.ly/4ezBcJT
✔️Data Science Tutorial: https://bit.ly/3O7KfGk
✔️Data Analytics Tutorial: https://bit.ly/48MxVTU

👉  Follow me
LinkedIn - https://bit.ly/3C1CY4v
Instagram - https://bit.ly/3z8Fg1d
-------------------------------------------------------------------------------------------------------------
► Top Free Video Tutorials
Python Tutorial (English)⭐️ https://youtu.be/HakXpkXcjdI
Python Tutorial (Hindi)⭐️ https://youtu.be/b97WsOM9BYg
Pandas Tutorial (English)⭐️https://youtu.be/yFoVs3_wvPo
Pandas Tutorial (Hindi)⭐️https://youtu.be/57POFzZ7f60
NumPy Tutorial (English)⭐️https://youtu.be/WsENswmSz6M
NumPy Tutorial (Hindi)⭐️https://youtu.be/roqStVWNR7Q
Matplotlib Tutorial (English)⭐️https://youtu.be/DFBkTIhptOQ
Matplotlib Tutorial (Hindi)⭐️https://youtu.be/vBCXsAd_swk
Google Colab Tutorial ⭐️https://youtu.be/iMlMfrXJYSg
Anaconda Tutorial ⭐️ https://youtu.be/ovlID7gefzE
PyCharm Tutorial ⭐️https://youtu.be/nixcq6mEGWQ
MySQL Tutorial ⭐️https://youtu.be/fFgdnS1laA0
SQL Tutorial ⭐️https://youtu.be/7dcYlJcGhqk
VS Code Tutorial ⭐️https://youtu.be/mK17Tel7dA8
Visual Studio Tutorial ⭐️https://youtu.be/REG-p_eFNIw
HTML Tutorial ⭐️https://bit.ly/3VHaUvq
jQuery Tutorial (English)⭐️https://youtu.be/5BTWmXFOKlc
jQuery Tutorial (Hindi)⭐️https://youtu.be/bvmAsDvQ1NM
Bootstrap Tutorial⭐️https://youtu.be/nahewStckVU 
MySQL Workbench Tutorial: https://youtu.be/UzodkZUt5JY

►  Programming - Free Study Material (Downloadable)
Python ⭐️https://studyopedia.com/tutorials/python3
Numpy ⭐️https://studyopedia.com/tutorials/numpy
Pandas ⭐️https://studyopedia.com/tutorials/pandas
Matplotlib ⭐️https://studyopedia.com/tutorials/matplotlib
Java ⭐️https://studyopedia.com/tutorials/java
C ⭐️https://studyopedia.com/tutorials/c-programming
C++ ⭐️https://studyopedia.com/tutorials/cpp/
C# ⭐️https://studyopedia.com/tutorials/csharp/
Android ⭐️https://studyopedia.com/tutorials/android
R ⭐️https://studyopedia.com/tutorials/r-tutorial

►  Web Dev - Free Study Material (Downloadable)
HTML5 ⭐️https://studyopedia.com/tutorials/html5
PHP ⭐️ https://studyopedia.com/tutorials/php
Bootstrap⭐️https://studyopedia.com/tutorials/bootstrap/
JavaScript⭐️https://studyopedia.com/tutorials/javascript/
jQuery⭐️https://studyopedia.com/tutorials/jquery/

►  Database  - Free Study Material (Downloadable)
SQL ⭐️https://studyopedia.com/tutorials/sql
MySQL ⭐️https://studyopedia.com/tutorials/mysql
MongoDB⭐️https://studyopedia.com/tutorials/mongodb

►  CMS - Free Study Material (Downloadable)
WordPress ⭐️https://studyopedia.com/tutorials/wordpress
Joomla⭐️https://studyopedia.com/tutorials/joomla
Drupal ⭐️https://studyopedia.com/tutorials/drupal
Magento ⭐️https://studyopedia.com/tutorials/magento

►  Free Interview QA
Python🔥https://studyopedia.com/java/java-interview-questions-and-answers
Java 🔥https://studyopedia.com/python3/python-multiple-choice-questions/
Android🔥https://studyopedia.com/android/android-interview-questions/
ReactJS🔥https://studyopedia.com/reactjs/react-interview-questions
Bootstrap 🔥https://studyopedia.com/bootstrap/bootstrap-interview-questions
SQL 🔥https://studyopedia.com/sql/sql-interview-questions
MongoDB 🔥https://studyopedia.com/mongodb/mongodb-interview-questions
MySQL 🔥https://studyopedia.com/mysql/mysql-interview-questions

👉 About Amit Thinks YouTube Channel
I am Amit Diwan, a self-made Entrepreneur, running ""Amit Thinks"", a Tech YouTube Channel. Also running an E-Learning website ""studyopedia.com"".  We publish videos in English and Hindi on Programming, Databases, and Web Dev Technologies. I have left a job offer from Accenture and 3 government jobs to follow my dream of being an entrepreneur.

Join this channel to get access to perks:
https://www.youtube.com/channel/UCgnr2Lkl1LZf0IOKRDAoJ2g/join

►  Subscribe
https://www.youtube.com/@Amit.Thinks/",Amit Thinks,158308,1717,96,2024-10-11 15:30:04+00:00,2024-10-11,2024,10,2025-08-04 01:18:19.183950
FVgiTNIYJlo,#autocad #plant3d Add Preview Images to Custom #Python Parts,​ @SmartProjectDesignStudio  How to add images to your made #custom   #scripts  in #python  for #plant3d . Make #engineering more #interesting and #easy .,Smart Project Design Studio,34,3,0,2025-08-02 07:00:38+00:00,2025-08-02,2025,8,2025-08-04 01:18:19.183956
q2-pnQffZik,Learn Python for FREE in 2025,"Learn Python for FREE in 2025 #coding #compsci #python #fyp 


Source: TikTok (individualkex)",Sajjaad Khader,434022,12648,108,2024-12-31 02:30:33+00:00,2024-12-31,2024,12,2025-08-04 01:18:19.183963
